source,target,source_label,target_label
5488136,230446354,illicit,illicit
27553759,5488136,illicit,illicit
27553759,87519468,illicit,unknown
232467632,5529367,illicit,unknown
232467632,230530295,illicit,illicit
232467632,91377669,illicit,unknown
232467632,232467634,illicit,illicit
231181128,232453404,illicit,illicit
231181128,232908843,illicit,illicit
231181128,2713138,illicit,unknown
232453404,231181128,illicit,illicit
232453404,14222967,illicit,illicit
230447764,232353601,illicit,unknown
230447764,3898382,illicit,illicit
230423018,232392936,illicit,illicit
230423018,230423318,illicit,illicit
230423018,232438397,illicit,illicit
232392936,230423018,illicit,illicit
232392936,232392931,illicit,illicit
152498092,234419729,illicit,unknown
152498092,232956426,illicit,unknown
152498092,234450772,illicit,unknown
89273,3906238,illicit,illicit
89273,51860219,illicit,illicit
89273,230512979,illicit,illicit
89273,230465219,illicit,illicit
89273,232916687,illicit,illicit
3906238,89273,illicit,illicit
230973596,232455956,illicit,illicit
230973596,89273,illicit,illicit
232455956,230973596,illicit,illicit
232455956,232455961,illicit,unknown
38062994,80044108,illicit,unknown
230423318,230423018,illicit,illicit
230423318,232035818,illicit,unknown
232453639,232453630,illicit,illicit
232453639,2716819,illicit,unknown
232453639,230859209,illicit,unknown
232453630,232453639,illicit,illicit
232453630,230528722,illicit,illicit
51860219,89273,illicit,illicit
230522097,230521273,illicit,unknown
1913117,232909272,illicit,illicit
1913117,233227310,illicit,illicit
1913117,2923374,illicit,unknown
1913117,233842379,illicit,illicit
1913117,231590190,illicit,illicit
232909272,1913117,illicit,illicit
232909272,231179622,illicit,illicit
231177063,231179660,illicit,unknown
231177063,2758467,illicit,illicit
206222134,192431356,illicit,illicit
206222134,226889376,illicit,illicit
192431356,206222134,illicit,illicit
192431356,206187586,illicit,unknown
200165930,39617084,illicit,unknown
200165930,63113839,illicit,unknown
200165930,230408895,illicit,unknown
230432611,230966618,illicit,illicit
230432611,71372878,illicit,unknown
230966618,230432611,illicit,illicit
230966618,232438397,illicit,illicit
230512979,89273,illicit,illicit
230512979,3402009,illicit,illicit
230674241,232436036,illicit,unknown
230674241,232406381,illicit,unknown
230674241,232468551,illicit,unknown
230918484,40297647,illicit,illicit
40297647,230918484,illicit,illicit
40297647,230595329,illicit,illicit
230447404,3877919,illicit,illicit
230447404,89273,illicit,illicit
3877919,230447404,illicit,illicit
3877919,3687692,illicit,illicit
231995264,232468876,illicit,illicit
231995264,231993295,illicit,unknown
231995264,232034293,illicit,unknown
232468876,231995264,illicit,illicit
232468876,232468873,illicit,unknown
232468876,231995064,illicit,illicit
232468876,232468893,illicit,unknown
189305695,232687445,illicit,unknown
232440027,232448376,illicit,illicit
232440027,230461032,illicit,illicit
232440027,232906649,illicit,illicit
232440027,232440024,illicit,illicit
232448376,232440027,illicit,illicit
232448376,89273,illicit,illicit
232448376,230681123,illicit,illicit
230537133,230537117,illicit,unknown
230537133,232467634,illicit,illicit
13805515,66396856,illicit,unknown
13805515,89979687,illicit,unknown
13805515,33809076,illicit,unknown
230470027,2893869,illicit,unknown
230470027,230470029,illicit,illicit
230470027,230470035,illicit,unknown
230470027,230470031,illicit,unknown
230470027,230470032,illicit,unknown
230449513,230449518,illicit,illicit
230449513,230449516,illicit,illicit
230449518,230449513,illicit,illicit
230449518,232438397,illicit,illicit
232457903,11011839,illicit,illicit
232457903,1913117,illicit,illicit
11011839,232457903,illicit,illicit
11011839,230528762,illicit,illicit
230391412,232029206,illicit,illicit
230391412,232644856,illicit,illicit
230391412,230391409,illicit,illicit
230465219,89273,illicit,illicit
230465219,230464776,illicit,illicit
230465219,230465227,illicit,illicit
230465219,232440097,illicit,illicit
2880930,230541525,illicit,unknown
2880930,230445151,illicit,unknown
2880930,232432878,illicit,unknown
2880930,33137867,illicit,unknown
2880930,230411242,illicit,unknown
230452144,2706899,illicit,illicit
2706899,230452144,illicit,illicit
2706899,89273,illicit,illicit
2706899,69528874,illicit,unknown
2706899,230452145,illicit,unknown
2706899,230353892,illicit,illicit
230681119,232472581,illicit,illicit
230681119,232439984,illicit,illicit
230681119,232439983,illicit,illicit
232472581,230681119,illicit,illicit
232472581,230523211,illicit,illicit
232472581,230681123,illicit,illicit
232916687,89273,illicit,illicit
232916687,1913117,illicit,illicit
232916687,7991441,illicit,illicit
232440137,230639246,illicit,illicit
232440137,89273,illicit,illicit
232440137,36350939,illicit,illicit
230639246,232440137,illicit,illicit
230639246,232446202,illicit,illicit
232415197,232957846,illicit,unknown
232415197,232949441,illicit,unknown
232415197,232959275,illicit,unknown
232415197,232956438,illicit,unknown
232415197,69733509,illicit,unknown
230555921,230591601,illicit,unknown
230555921,59397801,illicit,illicit
230555921,232781199,illicit,unknown
230555921,107102569,illicit,unknown
230555921,232359151,illicit,illicit
230521269,230521266,illicit,illicit
230521269,232465856,illicit,illicit
230521269,232429046,illicit,unknown
230521269,232465858,illicit,unknown
230521269,92571083,illicit,illicit
230521266,230521269,illicit,illicit
230521266,230521273,illicit,unknown
230521266,230521271,illicit,illicit
230521266,230521268,illicit,illicit
230521266,230516010,illicit,unknown
232047899,232438397,illicit,illicit
232047899,230434027,illicit,illicit
230597986,3878899,illicit,illicit
230597986,14964125,illicit,unknown
3878899,230597986,illicit,illicit
3878899,3875041,illicit,illicit
3878899,232464074,illicit,illicit
230437630,230649117,illicit,illicit
230437630,232906420,illicit,illicit
230437630,230437633,illicit,illicit
230437630,230437632,illicit,illicit
230649117,230437630,illicit,illicit
230649117,232439984,illicit,illicit
230649117,232440097,illicit,illicit
230649117,230438488,illicit,illicit
232353291,14550424,illicit,unknown
232353291,232451413,illicit,illicit
232353291,232072340,illicit,illicit
233227310,1913117,illicit,illicit
232361296,232361286,illicit,illicit
232361296,230602355,illicit,illicit
232361286,232361296,illicit,illicit
232361286,22584216,illicit,unknown
232361286,49960790,illicit,illicit
232361286,232470342,illicit,illicit
231996124,230473483,illicit,illicit
230473483,231996124,illicit,illicit
230473483,231995763,illicit,illicit
230473483,231996116,illicit,illicit
230473483,36787463,illicit,illicit
230473483,231996121,illicit,illicit
230523211,230523207,illicit,illicit
230523211,230529019,illicit,illicit
230523211,232444502,illicit,illicit
230523211,232472581,illicit,illicit
230523211,230411703,illicit,unknown
230523207,230523211,illicit,illicit
230523207,230523212,illicit,illicit
232035051,232036661,illicit,illicit
232035051,230438482,illicit,illicit
